,neighbourhood,property_type,room_type,max_capacity(pax),bathrooms,bedrooms,price,cancellation_policy,Distance_from_center(m),Perc_Utilities,Perc_extra
152,Noord-Oost,Bed & Breakfast,Private room,2,1.0,1.0,90,2,5740.959745067442,0.1666666666666666,0.0
153,Noord-Oost,Apartment,Private room,1,1.0,1.0,37,0,4365.170224385855,0.8333333333333334,0.1428571428571428
154,Noord-Oost,Apartment,Entire home/apt,4,1.0,2.0,65,0,4945.952490192268,0.5,0.2857142857142857
155,Noord-Oost,Apartment,Entire home/apt,4,1.0,2.0,140,1,3892.4585418786346,0.8333333333333334,0.2857142857142857
156,Noord-Oost,House,Entire home/apt,4,2.0,2.0,175,2,4440.277574769483,0.6666666666666666,0.1428571428571428
157,Noord-Oost,House,Entire home/apt,5,2.0,3.0,175,0,4548.914885985633,0.8333333333333334,0.1428571428571428
158,Noord-Oost,Apartment,Private room,2,1.0,1.0,50,0,4769.225254274918,0.0,0.0
159,Noord-Oost,Apartment,Entire home/apt,3,1.0,2.0,140,1,4526.763691353286,0.8333333333333334,0.1428571428571428
160,Noord-Oost,House,Entire home/apt,5,1.5,3.0,140,1,5740.959745067442,0.6666666666666666,0.1428571428571428
161,Noord-Oost,House,Entire home/apt,4,2.0,3.0,149,0,4732.682516928661,0.6666666666666666,0.1428571428571428
162,Noord-Oost,Apartment,Private room,2,1.0,1.0,56,0,4464.747040238784,0.8333333333333334,0.1428571428571428
163,Noord-Oost,House,Entire home/apt,2,1.5,1.0,150,2,5740.959745067442,0.8333333333333334,0.2857142857142857
164,Noord-Oost,Apartment,Entire home/apt,2,1.0,1.0,62,2,5130.699543632283,0.8333333333333334,0.2857142857142857
165,Noord-Oost,Apartment,Entire home/apt,4,1.0,1.0,75,2,4594.685046808221,0.5,0.1428571428571428
166,Noord-Oost,House,Entire home/apt,8,1.5,4.0,190,0,4549.310767186356,0.6666666666666666,0.1428571428571428
167,Noord-Oost,Apartment,Private room,2,1.0,1.0,45,2,4947.802858663289,0.6666666666666666,0.2857142857142857
168,Noord-Oost,House,Entire home/apt,6,1.0,4.0,150,0,5740.959745067442,0.5,0.1428571428571428
169,Noord-Oost,Apartment,Entire home/apt,2,1.0,1.0,125,1,5740.959745067442,0.6666666666666666,0.4285714285714285
170,Noord-Oost,House,Entire home/apt,4,1.5,3.0,100,1,5007.69502038615,0.6666666666666666,0.2857142857142857
171,Noord-Oost,Apartment,Private room,2,1.5,1.0,49,2,4983.422398672155,0.6666666666666666,0.1428571428571428
172,Noord-Oost,House,Entire home/apt,7,3.0,4.0,226,1,4977.177935089131,0.6666666666666666,0.1428571428571428
173,Noord-Oost,House,Entire home/apt,4,2.0,4.0,200,0,3644.4538384352177,0.6666666666666666,0.1428571428571428
174,Noord-Oost,Apartment,Entire home/apt,4,1.5,2.0,181,2,4884.77382292192,0.8333333333333334,0.2857142857142857
175,Noord-Oost,Apartment,Entire home/apt,2,1.0,1.0,99,1,3729.626658617447,0.5,0.1428571428571428
176,Noord-Oost,Apartment,Entire home/apt,2,1.0,1.0,78,2,5740.959745067442,0.5,0.4285714285714285
177,Noord-Oost,Apartment,Private room,3,1.0,1.0,46,0,5098.846759868076,0.6666666666666666,0.2857142857142857
178,Noord-Oost,Apartment,Private room,2,1.0,1.0,53,1,3856.332874967829,0.5,0.1428571428571428
179,Noord-Oost,Apartment,Private room,2,1.0,1.0,62,0,4718.398583276014,0.3333333333333333,0.1428571428571428
180,Noord-Oost,House,Entire home/apt,6,2.0,2.0,226,0,4790.082270067819,0.6666666666666666,0.2857142857142857
181,Noord-Oost,House,Entire home/apt,5,1.0,4.0,120,2,5069.229239593879,0.8333333333333334,0.1428571428571428
182,Noord-Oost,House,Entire home/apt,2,1.0,1.0,130,1,5740.959745067442,0.6666666666666666,0.1428571428571428
183,Noord-Oost,House,Entire home/apt,6,1.0,3.0,250,2,4642.341601808155,0.5,0.1428571428571428
184,Noord-Oost,Apartment,Entire home/apt,2,1.0,1.0,87,1,4235.0743655355245,0.6666666666666666,0.1428571428571428
185,Noord-Oost,House,Entire home/apt,4,2.0,2.0,150,1,5013.187345428821,0.6666666666666666,0.0
186,Noord-Oost,House,Entire home/apt,4,1.0,4.0,251,2,3793.852095091992,0.8333333333333334,0.1428571428571428
187,Noord-Oost,House,Entire home/apt,4,1.0,2.0,91,1,5029.54480210799,0.6666666666666666,0.2857142857142857
188,Noord-Oost,House,Entire home/apt,2,1.0,1.0,130,1,5740.959745067442,0.5,0.1428571428571428
